id,hindi,santali
1598,यह एक ऐसी सरकार है जो समाज को भ्रष्ट करने के लिए बनायी गयी है ।,"ᱯᱳᱭᱞᱳ ᱟᱜ ᱫᱚ ᱟᱨᱡᱟᱣ ᱫᱟᱲᱮ ᱩᱛᱱᱟᱹᱣᱤᱡ ᱢᱤᱫᱴᱟᱝ ᱩᱯᱚᱵᱷᱳᱠᱛᱟ ᱠᱟᱹᱣᱰᱤᱟᱹᱨᱤ, ᱛᱟᱭᱚᱢᱟᱜ ᱫᱚ ᱥᱟᱶᱛᱟ ᱧᱮᱞᱥᱟᱢᱴᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱛᱟᱱᱟᱞᱟ ᱞᱮᱠᱟᱮ ᱟᱜᱟᱢ ᱩᱭᱦᱟᱹᱨ ᱟᱠᱟᱱ ᱢᱤᱫᱴᱟᱝ ᱜᱷᱟᱹᱲᱛᱤ ᱠᱟᱹᱣᱰᱤ ᱟᱹᱨᱤ ᱾"
1599,"सन्‌ 2013 से पहले, भारतीय कंपनियों को भारत में आईओ को पहली बार पूरा किए बगैर अंतर्राष्ट्रीय रूप से उनकी सूची देने की अनुमति नहीं दी गयी ।","᱒᱐᱑᱓ ᱥᱟᱹᱦᱤᱛ ᱞᱟᱦᱟᱨᱮ, ᱵᱷᱟᱨᱚᱛ ᱨᱮᱭᱟᱜ ᱠᱳᱢᱯᱟᱱᱤ ᱠᱚ ᱵᱷᱟᱨᱚᱛᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱟᱭ ᱯᱤ ᱳ ᱵᱟᱝ ᱯᱩᱨᱟᱹᱣ ᱠᱟᱛᱮᱜ ᱡᱮᱜᱮᱫ ᱡᱟᱠᱟᱛ ᱞᱮᱠᱟᱛᱮ ᱟᱠᱚᱣᱟᱜ ᱥᱤᱠᱤᱣᱩᱨᱤᱴᱤ ᱠᱚ ᱛᱟᱹᱞᱤᱠᱟ ᱥᱮᱞᱮᱫ ᱨᱮᱭᱟᱜ ᱪᱷᱟᱹᱲ ᱵᱟᱝ ᱮᱢ ᱦᱩᱭᱟᱠᱟᱱᱟ ᱾"
1600,"ब्रांड वफादारी का उच्च स्तर आलोचना किया गया है और उपहास किया गया है, एपीपिट ""एली प्रशंसक"" के साथ एक उत्पाद लांच से पहले अधिकतम लाइनों को लागू किया जा रहा है और उपहास किया जा रहा है.","ᱮᱯᱮᱞ ᱯᱷᱮᱱᱵᱚᱭ'' ᱩᱯᱟᱹᱫᱷᱤ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮᱜ ᱟᱨ ᱡᱟᱦᱟᱸᱱ ᱡᱤᱱᱤᱥ ᱞᱚᱧᱪᱜ ᱞᱟᱦᱟ ᱨᱮᱜᱮ ᱡᱮᱞᱮᱧ ᱞᱟᱭᱤᱱ ᱵᱮᱱᱟᱣ ᱠᱚ ᱫᱩᱥᱟᱹᱣ ᱠᱟᱛᱮᱜ ᱵᱨᱮᱱᱰ ᱯᱟᱹᱛᱭᱟᱹᱣ ᱨᱮ ᱪᱮᱛᱟᱱᱛᱷᱚᱠ ᱨᱮᱭᱟᱜ ᱚᱠᱛᱟ ᱦᱩᱭᱟᱠᱟᱱᱟ ᱟᱨ ᱯᱚᱥᱲᱟ ᱦᱩᱭᱟᱠᱟᱱᱟ,"
1601,सन्‌ 2006 में न्यू यॉर्क शहर के एवेन्यू एवेन्यू स्टोर की शुरूआत हुई और यूरोप से आए लोग इस घटना के लिए हवाई सफर करने आए ।,᱒᱐᱐᱖ ᱥᱟᱹᱦᱤᱛᱨᱮ ᱱᱤᱭᱩ ᱤᱭᱚᱨᱠ ᱮᱯᱮᱞ ᱯᱷᱤᱯᱛᱷ ᱮᱵᱷᱤᱱᱤᱭᱩ ᱥᱴᱳᱨ ᱨᱮᱭᱟᱜ ᱩᱰᱷᱟᱹᱣᱨᱮ ᱮᱠᱟᱞ ᱥᱮᱞᱮᱫᱚᱜ ᱦᱩᱭᱞᱮᱱᱟ ᱟᱨ ᱤᱭᱩᱨᱳᱯ ᱠᱷᱚᱱ ᱧᱮᱧᱮᱞᱤᱭᱟᱹᱠᱚ ᱱᱚᱶᱟ ᱟᱠᱷᱲᱟ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱩᱰᱟᱹᱱ ᱜᱟᱹᱰᱤ ᱛᱮᱠᱚ ᱦᱮᱡᱽᱞᱮᱱᱟ ᱾
1602,"पैसा जमा करने के लिए घर और विदेशी स्रोतों से आना था, और इसके साथ ४,६६ गृह उत्पादों में घरेलू बचाव की दर और घोर घरेलू उत्पादों में विदेशी बचाव की दर थी ।","ᱴᱟᱠᱟ ᱠᱷᱟᱴᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱸᱧᱪᱟᱣ ᱟᱠᱟᱫᱽ ᱫᱤᱥᱚᱢ ᱨᱮᱭᱟᱜ ᱟᱨ ᱵᱤᱞᱟᱹᱛ ᱠᱷᱚᱱ ᱦᱤᱡᱩᱜ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ, ᱫᱤᱥᱚᱢ ᱨᱮ ᱥᱟᱧᱪᱟᱣ ᱨᱮᱭᱟᱜ ᱦᱟᱨ ᱜᱩᱴ ᱫᱚ ᱫᱤᱥᱚᱢᱨᱮ ᱟᱨᱡᱟᱜᱠᱟᱱ ᱒᱑ᱹ᱖% ᱟᱨ ᱵᱤᱞᱟᱹᱛᱨᱮ ᱥᱟᱧᱪᱟᱜ ᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱜᱩᱴ ᱦᱟᱨ ᱫᱚ ᱫᱤᱥᱚᱢᱨᱮ ᱟᱨᱡᱟᱜ ᱠᱟᱱ ᱨᱮᱭᱟᱜ ᱑ᱹ᱖% ᱾"
1603,"NATAS के मुख्य जानकारी अधिकारी Cindman के $4 अरब साल बाहर कंप्यूटर विज्ञान विभाग और आंसेल के साथ अनुबंध बाहर थे, इस प्रकार ""एक प्रक्रिया को बढ़ावा देने से बचने के लिए अगर हम इसे घर में करना चाहते हैं.""","ᱠᱚᱢᱯᱤᱭᱩᱴᱟᱨ ᱥᱟᱭᱮᱱᱥᱮᱥ ᱠᱚᱨᱯᱚᱨᱮᱥᱚᱱ ᱟᱨ ᱮᱥᱥᱮᱱᱪᱟᱨ ᱥᱟᱶ ᱰᱩᱯᱚᱱᱴᱥ ᱨᱮᱱ ᱪᱤᱯᱷ ᱤᱱᱯᱷᱚᱨᱢᱮᱥᱚᱱ ᱚᱯᱷᱤᱥᱟᱨ ᱥᱤᱱᱰᱟ ᱦᱚᱞᱢᱮᱱᱟᱜ $᱔ ᱵᱤᱞᱞᱤᱭᱚᱱ ᱑᱐ᱼᱥᱮᱨᱢᱟᱨᱮᱭᱟᱜ ᱟᱣᱩᱴᱥᱳᱨᱥᱤᱝ ᱪᱩᱠᱛᱤ ᱪᱟᱞᱟᱣᱵᱟᱱᱟᱣᱤᱡᱽᱟᱜ ᱵᱚᱨᱱᱚᱱ ᱟᱣᱩᱴᱥᱳᱨᱥ ᱵᱮᱱᱟᱣ ᱦᱩᱭᱞᱮᱱᱟ ᱱᱚᱝᱠᱟᱞᱮᱠᱟᱛᱮ ""ᱢᱤᱫᱴᱟᱝ ᱠᱟᱹᱢᱤᱦᱚᱨᱟ ᱥᱤᱨᱡᱟᱹᱣ ᱡᱚᱫᱤ ᱟᱞᱮ ᱚᱲᱟᱜᱽ ᱵᱷᱟᱹᱨᱨᱮ ᱫᱩᱲᱩᱵᱠᱟᱛᱮᱞᱮ ᱠᱚᱨᱟᱣ ᱫᱟᱲᱮᱜᱽ ᱾"""
1604,"रॉबर्ट बी.वुड, अलास्का में निर्माण में, एक समय था अमेरिका केंद्र के बैंक का नाम एक बार, बैंक की स्थापना के साथ का नाम दिया गया था दस टन सुरक्षा बैंक बैंक बैंक का निर्माण.","ᱮᱝᱠᱚᱨᱮᱡᱽ, ᱟᱞᱟᱥᱠᱟᱨᱮ ᱨᱚᱵᱟᱨᱴ ᱵᱤ. ᱮᱴᱩᱰ ᱵᱤᱞᱰᱤᱝ ᱫᱚ ᱢᱤᱫᱽ ᱚᱠᱛᱚ ᱵᱮᱝᱠ ᱚᱯᱷ ᱟᱢᱮᱨᱤᱠᱟ ᱥᱮᱱᱴᱟᱨ ᱧᱩᱛᱩᱢᱛᱮ ᱧᱩᱛᱩᱢᱞᱮᱱᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱵᱮᱝᱠᱨᱮᱱ ᱵᱷᱟᱲᱟᱴᱤᱭᱟᱹ ᱦᱚᱨᱦᱚᱭ ᱯᱮᱥᱤᱯᱷᱤᱠ ᱵᱮᱝᱠᱨᱮᱭᱟᱜ ᱜᱚᱵᱚᱞᱟᱠᱟᱱ ᱥᱟᱶᱛᱮ ᱢᱤᱫᱛᱮ ᱧᱩᱛᱩᱢᱟᱠᱟᱱ ᱛᱟᱦᱮᱸᱠᱟᱱᱟ ᱾"
1605,CIC न्यूक्लीयरमेंट से अलग है क्योंकि यह मध्य- बीच की जानकारी प्रवाह की अनुमति देती है.,"ᱱᱤᱣᱨᱳᱢᱳᱰᱤᱞᱮᱥᱚᱱ ᱠᱷᱚᱱ ᱵᱤᱹᱥᱤᱹᱟᱭ ᱵᱷᱮᱜᱟᱨ ᱱᱚᱶᱟ ᱞᱮᱠᱟ ᱡᱮ, ᱱᱚᱶᱟ ᱛᱚᱛᱷᱚ ᱵᱟᱱᱟᱨᱯᱟᱦᱴᱟ ᱞᱤᱜᱤᱸᱱ ᱨᱮᱭᱟᱜ ᱟᱨᱫᱟᱥ ᱮ ᱮᱢ ᱞᱮᱫᱟ।"
1606,"लेकिन, ऐसे आवधिक क्रम को आकर्षित करने के बजाय हटा रहे हैं, मतलब यह है कि यदि एनसिंक वेरिएबल अनुक्रम के बाहर है, तो यह अनुक्रम में नहीं प्रवेश करेगा और वास्तव में, यह उस से फिर कभी नहीं आएगा.","ᱡᱟᱦᱟᱸᱜᱤ ᱦᱩᱭᱩᱜ, ᱱᱤᱭᱟᱹᱞᱮᱠᱟᱱ ᱛᱷᱟᱹᱨᱮᱞᱠᱷᱟ ᱚᱱᱩᱠᱨᱚᱢᱠᱩ ᱨᱤᱡᱷᱟᱹᱣᱟᱱᱟᱜ ᱦᱩᱭ ᱵᱚᱫᱚᱞᱛᱮ ᱵᱟᱝᱠᱩᱥᱤᱭᱟᱜ ᱦᱩᱭᱩᱜᱼᱟ, ᱢᱮᱱᱫᱚ ᱵᱚᱫᱚᱞᱚᱜᱽᱠᱟᱱ ᱪᱚᱞᱚᱨᱟᱥᱤ ᱫᱚ ᱥᱩᱨᱥᱩᱯᱩᱨ ᱦᱩᱭᱞᱮᱱᱨᱮ ᱦᱚᱸ ᱚᱱᱩᱠᱨᱚᱢ ᱨᱮᱭᱟᱜ ᱵᱟᱨᱦᱮᱨᱮ ᱛᱟᱦᱮᱸᱞᱮᱱᱠᱷᱟᱱ, ᱚᱱᱟ ᱚᱱᱩᱠᱨᱚᱢᱨᱮ ᱵᱟᱝ ᱵᱚᱞᱚᱱᱟ ᱟᱨ, ᱠᱟᱹᱢᱤᱭᱨᱮ, ᱚᱱᱟ ᱠᱷᱚᱱ ᱪᱦᱤᱱᱜᱟᱹᱜᱽᱟᱭ ᱾"
1607,एक सेकंड पर एक और समायोजन है जो कभी - कभी SITATATATAN समय पर लागू होता है (यू. एस. ए.),ᱢᱤᱫ ᱚᱫᱷᱤ ᱴᱤᱯᱤᱡ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱵᱮᱼᱟᱹᱨᱤ ᱟᱨ ᱫᱷᱟᱹᱨᱛᱤ ᱨᱮᱭᱟᱜ ᱟᱵᱚᱨᱛᱚᱱ ᱨᱮ ᱡᱮᱞᱮᱧᱢᱮᱭᱟᱫᱤ ᱢᱚᱱᱫᱤᱵᱷᱚᱵᱚᱱ ᱨᱮᱭᱟᱜ ᱠᱟᱨᱚᱱᱛᱮ ᱵᱚᱫᱚᱞ ᱦᱩᱭᱩᱜ ᱛᱟᱦᱮᱸᱫ ᱵᱮᱜᱚᱨ ᱵᱷᱩᱞ ᱚᱠᱛᱮ (ᱯᱟᱨᱚᱢᱟᱱᱚᱵᱤᱠ ᱜᱷᱚᱲᱤ ᱫᱟᱨᱟᱭ ᱛᱮ ᱯᱚᱨᱤᱢᱤᱛ ᱡᱮᱜᱮᱫ ᱡᱟᱠᱟᱫ ᱯᱟᱨᱚᱢᱟᱱᱚᱵᱤᱠ ᱚᱠᱛᱮ (ᱴᱟᱭ) ᱟᱨ ᱵᱮᱼᱵᱷᱩᱞ ᱧᱮᱞᱥᱟᱢᱴᱟᱣ ᱪᱟᱸᱫᱳ ᱚᱠᱛᱮ (ᱤᱭᱩᱴᱤ ᱑) ᱨᱮᱭᱟᱜ ᱢᱩᱫᱽᱨᱮ ᱵᱷᱮᱜᱟᱨ ᱫᱚ ᱢᱮᱥᱟᱭ ᱞᱟᱹᱜᱤᱫ ᱩᱪᱟᱹᱲ ᱡᱮᱜᱮᱫᱡᱚᱱᱚᱱᱤ ᱚᱠᱛᱮ (ᱤᱭᱩᱴᱤᱥᱤ) ᱨᱮ ᱛᱟᱞᱟᱢᱟᱞᱟᱨᱮ ᱵᱮᱣᱦᱟᱨ ᱟᱱᱟᱜ ᱢᱤᱫ ᱴᱤᱯᱤᱡ ᱨᱮᱭᱟᱜ ᱢᱤᱫᱴᱟᱝ ᱢᱤᱫᱟᱱᱟᱜ ᱞᱮᱠᱟᱱ ᱾
1608,केमर ईर ईर अल द्वारा शिक्षकों का एक अध्ययन ने पाया कि सर्वेक्षण के दौरान 25% निजी शिक्षक और 40 प्रतिशत चिकित्सा कर्मचारियों के संपर्क में थे।,"ᱠᱨᱮᱢᱟᱨ ᱮᱴ ᱚᱞ ᱨᱮᱱ ᱢᱟᱪᱮᱫᱠᱚ ᱪᱮᱛᱟᱱ ᱢᱤᱫᱴᱟᱝ ᱠᱷᱚᱫᱽᱨᱚᱸᱱ ᱠᱟᱛᱮ ᱧᱟᱢ ᱟᱠᱟᱱᱟ ᱡᱮ, ᱥᱚᱢᱤᱠᱷᱟ ᱚᱠᱛᱮ ᱒᱕ ᱥᱟᱭᱦᱤᱸᱥ ᱵᱮᱥᱚᱨᱠᱟᱨ ᱟᱱᱟᱜ ᱠᱷᱟᱛ ᱨᱮ ᱢᱟᱪᱮᱫ ᱟᱨ ᱔᱐ ᱥᱟᱭᱦᱤᱸᱥ ᱥᱚᱨᱠᱟᱨᱤ ᱠᱷᱟᱛ ᱨᱮᱭᱟᱜ ᱛᱤᱠᱠᱷᱤᱥᱟ ᱠᱟᱹᱢᱤᱭᱟᱹ ᱠᱚ ᱵᱮᱼᱦᱟᱹᱡᱤᱨ ᱠᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱾"
1609,"१९३० के कम्प्लीशन प्रभाव ने और अधिक प्रमाण प्रदान किया कि विशिष्ट सापेक्षता लागू होती है, इस मामले में फोटो-काइन छितराने के बारे में एक कण वर्णन के लिए.",᱑᱙᱒᱓ ᱥᱟᱹᱦᱤᱛ ᱨᱮᱭᱟᱜ ᱠᱨᱚᱢᱯᱴᱚᱱ ᱮᱥᱮᱨ ᱟᱨᱦᱚᱸ ᱩᱱᱩᱫᱩᱜ ᱮ ᱮᱢ ᱠᱟᱛᱮ ᱡᱟᱦᱟᱸ ᱵᱤᱥᱮᱥ ᱟᱠᱷᱯᱮᱠ ᱮ ᱠᱷᱟᱴᱟᱣ ᱞᱮᱫᱟ ᱯᱷᱳᱴᱚᱱᱼᱤᱞᱮᱠᱴᱨᱚᱱ ᱵᱤᱠᱠᱷᱮᱯ ᱚᱠᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱠᱚᱨᱱᱟᱨ ᱵᱚᱨᱱᱚᱱ ᱠᱷᱮᱛᱨᱚ ᱨᱮ ᱾
1610,"मौजूदा और आरोपों (एसएमआर) के बाद से यह आरोपों और स्रोत में मौजूदा प्रभावों से बहुत दूर है, और इस समय में भी उनके द्वारा सीधे रूप से प्रभावित नहीं होता है (या, यह एक अलग रूप से ऐसे क्षेत्रों में बनाया गया है जिन से अतीत में परिवर्तनों में परिवर्तनों के क्रम में किया गया है.","ᱢᱩᱞᱨᱮ ᱟᱫᱷᱟᱱ ᱟᱨ ᱵᱤᱡᱞᱤᱪᱟᱞᱟᱜᱽ ᱠᱷᱚᱱ ᱯᱟᱥᱱᱟᱜᱽᱼᱟ, ᱚᱱᱟᱠᱩ ᱪᱮᱛᱟᱱ ᱡᱟᱦᱟᱸᱱ ""ᱯᱨᱚᱛᱤᱠᱨᱤᱭᱟ"" ᱮᱥᱮᱲ ᱵᱟᱹᱱᱩᱜᱽᱼᱟ, ᱟᱨ ᱱᱟᱦᱟᱜᱽ ᱚᱠᱛᱮᱨᱮᱚᱱᱟᱠᱩ ᱦᱚᱛᱮᱛᱮ ᱧᱮᱞᱚᱜᱽᱞᱮᱠᱟᱛᱮ ᱵᱟᱝ ᱜᱚᱵᱚᱞᱚᱜᱽᱼᱟ (ᱵᱚᱨᱚᱝ ᱞᱟᱦᱟᱨᱮ ᱚᱱᱟᱠᱩ ᱠᱷᱚᱱ ᱯᱟᱥᱱᱟᱜᱽ ᱠᱷᱮᱛᱨᱚᱨᱮ ᱵᱚᱫᱚᱞᱠᱩ ᱢᱩᱫᱨᱮ ᱚᱱᱩᱠᱨᱚᱢ ᱠᱷᱚᱱ ᱫᱚᱥᱟᱨᱞᱮᱠᱟᱛᱮ ᱚᱱᱟ ᱫᱚ ᱥᱤᱨᱡᱟᱹᱜᱽᱼᱟ) ᱢᱮᱱᱛᱮ ᱵᱤᱡᱞᱤᱪᱟᱞᱟᱜᱽ ᱟᱟᱨ ᱟᱫᱷᱟᱱ (ᱢᱩᱞ) ᱠᱷᱚᱱ ᱟᱭᱢᱟ ᱥᱟᱹᱜᱤᱧ ᱡᱟᱦᱟᱸᱱ ᱛᱚᱲᱤᱛᱼᱪᱩᱢᱵᱚᱠᱤᱭᱚ ᱠᱷᱮᱛᱨᱚ ᱜᱤ ᱛᱚᱲᱤᱛᱼᱪᱩᱢᱵᱚᱠᱤᱭᱚ ᱵᱤᱠᱤᱨᱚᱱ (ᱤᱮᱢᱟᱨ) ᱠᱩ ᱢᱮᱱᱼᱟ ᱾"
1611,"जैसा कि ऊपर बताया गया है, अधिकांश डी. एन. एन. ए.","ᱪᱮᱛᱟᱱ ᱨᱮ ᱩᱫᱩᱜᱥᱚᱫᱚᱨ ᱞᱮᱠᱟᱛᱮ, ᱟᱹᱰᱤᱜᱟᱱ ᱰᱤᱹᱮᱱᱹᱮ ᱚᱱᱩ ᱜᱮ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱵᱮᱼᱥᱚᱝᱡᱳᱡᱚᱜ ᱡᱚᱯᱲᱟᱣ ᱨᱮ ᱯᱮᱴᱮᱨ ᱠᱟᱭᱫᱟ ᱛᱮ ᱢᱤᱫᱥᱟᱶᱛᱮ ᱛᱟᱦᱮᱸᱟᱠᱟᱱ ᱯᱚᱞᱤᱢᱟᱨ ᱨᱮᱭᱟᱜ ᱵᱟᱨᱭᱟ ᱥᱩᱛᱨᱚ; ᱰᱷᱮᱨᱠᱟᱭᱛᱮ ᱴᱚᱴᱷᱟ ᱨᱮ, ᱡᱤ ᱟᱨ ᱥᱤ ᱤᱥᱴᱮᱠ ᱨᱮᱭᱟᱜ ᱠᱷᱮᱛᱨᱚ ᱨᱮ ᱡᱚᱛᱚᱠᱷᱚᱱ ᱫᱟᱲᱮᱭᱟᱱ ᱱᱚᱶᱟ ᱵᱷᱤᱛᱟᱹᱨᱥᱩᱛᱨᱚ ᱵᱮᱥ ᱥᱴᱟᱠᱤᱝ ᱢᱤᱫᱦᱚᱲ ᱠᱷᱚᱱ ᱟᱨ ᱢᱤᱫᱦᱚᱲ ᱡᱳᱜᱟᱡᱳᱜ ᱫᱟᱨᱟᱭ ᱛᱮ ᱱᱚᱶᱟ ᱵᱟᱨᱼᱥᱩᱛᱨᱚᱠ ᱜᱚᱴᱷᱚᱱ ᱫᱚ ᱨᱩᱠᱷᱭᱟᱜ ᱛᱟᱦᱮᱸᱫ ᱾"
1612,उसने सबसे पहले देखा कि समुद्र के तापमान के तापमान में बढ़ोतरी होने की दर बहुत कम है ।,"ᱠᱨᱟᱱᱛᱤᱭᱚ ᱦᱚᱭᱫᱟᱜ ᱯᱷᱮᱰᱟᱛ ᱵᱟᱨᱮᱛᱮ ᱩᱱᱤᱭᱟᱜ ᱠᱷᱚᱫᱽᱨᱚᱸᱱ ᱚᱡᱮᱞᱮᱠᱟᱛᱮ, ᱯᱩᱭᱞᱩ ᱫᱚ ᱩᱱᱤ ᱥᱟᱹᱢᱩᱫᱽ ᱞᱟᱛᱟᱨ ᱠᱷᱚᱱ ᱪᱮᱛᱟᱱ ᱰᱷᱮᱨᱚᱜ ᱥᱟᱶᱛᱮ ᱜᱚᱲ ᱞᱚᱞᱚᱥᱚᱝ ᱦᱟᱹᱱ ᱨᱮᱭᱟᱜ ᱦᱟᱨᱫᱚ ᱛᱩᱝᱠᱷᱤ ᱠᱟᱛᱮ ᱧᱮᱞ ᱞᱮᱠᱷᱟᱱ, ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨ, ᱪᱮᱛᱟᱱ ᱚᱠᱷᱟᱝᱥᱚ ᱨᱮᱭᱟᱜ ᱦᱚᱭᱢᱟᱱᱰᱮᱨ ᱡᱷᱧᱡᱚ ᱥᱟᱢᱲᱟᱣ ᱟᱹᱰᱤ ᱟᱸᱡᱷᱟᱴ ᱱᱮᱭᱚᱢ ᱛᱩᱱᱠᱷᱤᱛᱚᱞᱟᱥ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱥᱩᱛᱨᱚ ᱨᱮᱭᱟᱜ ᱛᱚᱞᱟᱥ ᱧᱟᱢᱚᱜᱼᱟ ᱾"
1613,"इसके अलावा, सन्‌ 1984 में, अमरीका के एक अखबार ने कहा कि कार्बन डाइऑक्साइड के गुच्छे पहले से ही मिले थे ।","ᱞᱮᱡᱟᱨ ᱫᱟᱨᱟᱭ ᱛᱮ ᱜᱨᱟᱯᱷᱟᱭᱤᱴ ᱫᱚ ᱵᱷᱟᱯᱟᱝ ᱠᱟᱛᱮ ᱚᱱᱟ ᱵᱷᱟᱯ ᱫᱚ ᱢᱤᱫ ᱦᱤᱞᱤᱭᱟᱢ ᱦᱚᱭᱢᱟᱱᱰᱮᱨ ᱨᱮ ᱨᱮᱭᱟᱲ ᱞᱟᱹᱜᱤᱫ ᱵᱤᱰᱟᱹᱣ, ᱑᱙᱘᱔ ᱨᱮ ᱯᱩᱭᱞᱩ ᱠᱟᱨᱵᱚᱱ ᱨᱮᱭᱟᱜ ᱜᱚᱪᱷᱟ ᱛᱩᱱᱠᱷᱤ ᱠᱟᱛᱮ ᱮᱨᱤᱠ ᱮᱹ ᱨᱚᱞᱯᱷᱤᱝ, ᱰᱳᱱᱟᱞᱴ ᱮᱢᱹ ᱠᱚᱥᱠ ᱟᱨ ᱮᱱᱰᱨᱩ ᱠᱮᱞᱰᱚᱨ ᱾"
1614,"एक एल्गोरिथ्म की जटिलता को निर्धारित करने का अर्थ है उच्च सीमाएँ खोजना या अनुमान लगाना कि कितने प्राथमिक ऑपरेशनों, जैसे कि कैंचियों के योग और गुणा, कुछ एल्गोरिथ्म करने के लिए आवश्यक हैं, उदाहरण के लिए, पूंजीवाद के गुणन.","ᱮᱞᱠᱷᱟ ᱯᱟᱹᱱᱟᱹᱨᱥᱤ ᱠᱮᱴᱮᱡ ᱵᱩᱡᱷᱟᱣ ᱢᱚᱱᱮ ᱪᱮᱛᱟᱱᱨᱮ ᱥᱤᱢᱟᱹ ᱜᱚᱴᱟ ᱵᱩᱴᱟᱹᱨᱮ ᱟᱨ ᱛᱤᱱᱟᱜᱜᱟᱱ ᱟᱞᱜᱟ ᱠᱟᱹᱢᱤ ᱨᱮᱭᱟᱜ ᱞᱮᱠᱷᱟ ᱦᱩᱭᱩᱜᱼᱟ, ᱡᱮᱞᱮᱠᱟ ᱥᱠᱮᱞᱟᱨ ᱥᱮᱞᱮᱫ ᱜᱟᱵᱟᱲ ᱫᱟᱹᱭᱠᱟᱹᱞᱮᱠᱟᱛᱮ ᱠᱟᱹᱴᱤᱪ ᱠᱟᱹᱴᱤᱪ ᱮᱞᱠᱷᱟ ᱯᱟᱹᱱᱟᱹᱨᱥᱤ ᱠᱷᱮᱛᱨᱚᱨᱮ ᱢᱮᱴᱨᱤᱠᱥᱮᱨ ᱜᱟᱵᱟᱲ ᱦᱩᱭᱩᱜ ᱠᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ।"
1615,"इस समय के दौरान, ब्रिटिश लोग बंगाल के गवर्नरों के साथ संघर्ष में आए।","ᱱᱤᱭᱟᱹ ᱚᱠᱛᱚ, ᱵᱟᱝᱞᱟ ᱨᱮ ᱢᱩᱜᱷᱚᱞ ᱯᱚᱱᱚᱛ ᱜᱚᱝᱠᱮ ᱥᱟᱶ ᱞᱟᱹᱲᱦᱟᱹᱭ ᱨᱮᱭ ᱡᱚᱯᱲᱟᱣ ᱞᱮᱱᱟᱭ ᱤᱝᱨᱮᱡ ᱥᱟᱶ᱾"
1616,"पहले लंबे अरसे से चल रहे ऑडियो ट्रांसमिट्स में सन 1906 में Ransenenen, एक एलैक्ज़ैंडर से एक सतत लहर सीधे एक पानी के माध्यम से संदेश भेजने के लिए चर रही थी।","᱑᱙᱐᱖ ᱥᱟᱹᱦᱤᱛ ᱨᱮ ᱨᱮᱡᱤᱱᱟᱞ ᱯᱷᱚᱥᱮᱱᱰᱮᱱ ᱫᱟᱨᱟᱭ ᱛᱮ ᱯᱩᱭᱞᱩ ᱥᱟᱸᱜᱤᱧ ᱚᱰᱤᱭᱳ, ᱟᱞᱮᱠᱡᱟᱱᱰᱟᱨᱥᱚᱱ ᱚᱞᱴᱟᱨᱱᱮᱴᱚᱨ ᱠᱷᱚᱱ ᱢᱤᱫᱴᱟᱝ ᱢᱤᱫᱞᱮᱛᱟᱲ ᱞᱤᱸᱜᱤᱱ ᱫᱟᱜ ᱨᱮ ᱨᱮᱭᱟᱲ ᱠᱚᱨᱟᱣ ᱠᱟᱨᱵᱚᱱ ᱢᱟᱭᱠᱨᱚᱯᱷᱚᱱ ᱛᱟᱞᱟᱛᱮ ᱥᱚᱨᱟᱥᱚᱨᱤ ᱠᱩᱞ ᱞᱟᱹᱜᱤᱫ ᱮᱱᱴᱮᱱᱟ ᱛᱮ ᱪᱟᱞᱟᱣ ᱦᱩᱭ ᱞᱮᱱᱟ ᱾"
