मैं समझता हूँ	ᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟᱹᱧ
मेरे पास तीस कॉफ़ी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चालीस तीन मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छः चाय हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱪᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अस्पताल कहाँ है?	ᱦᱚᱥᱯᱤᱴᱟᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
ᱜᱮᱞ	दस
ᱱᱤᱛᱚᱜ	अभी
सुबह में	ᱥᱮᱛᱟᱜ ᱨᱮ
खुला	ᱡᱷᱤᱡᱽ ᱢᱮ
मेरे पास छः पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱱᱚᱸᱰᱮ ᱪᱷᱩᱴᱤ ᱨᱮ ᱢᱤᱱᱟᱹᱧᱟ	मैं यहां छुट्टी पर हूँ
दस	ᱜᱮᱞ
कल	ᱦᱚᱞᱟ
मेरे पास पंद्रह केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱯᱚᱛᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस अक्षर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱨᱟᱹᱞ	आठ
मेरे पास सात पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास आठ पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱤᱨᱟᱹᱞ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच नारियल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱤᱭᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात भेड़ हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱷᱮᱲ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह कुर्सी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
यह मेरा दोस्त है	ᱱᱩᱭ ᱫᱚ ᱤᱧ ᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ
मेरे पास चौदह मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तीस तीन पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
प्रवेश	ᱵᱚᱞᱚᱱ ᱰᱟᱦᱟᱨ
क्या यह भाषा अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱯᱟᱹᱨᱥᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
मेरे पास पंद्रह पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस अमरूद हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱫᱟᱜ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ	पानी, कृपया
मेरे पास पंद्रह दाल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
बाज़ार कहाँ है?	ᱵᱟᱡᱟᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
ᱯᱷᱟᱨᱢᱟᱥᱭ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	औषधालय कहां है?
ᱛᱟᱭᱚᱢ ᱛᱮ	बाद में
ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ	सुप्रभात
ᱮᱭᱟᱭ	सात
मेरे पास पंद्रह हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह अमरूद हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उन्नीस पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱞᱮᱸᱜᱟ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ	बाएँ मुड़ें
मेरे पास सोलह पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच पेन हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मैं यहां काम के लिए हूँ	ᱤᱧ ᱱᱚᱸᱰᱮ ᱠᱟᱹᱢᱤ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱱᱟᱹᱧᱟ
ᱵᱚᱱᱫᱚ	बंद
मेरे पास दस चीनी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱤᱱᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱱᱟᱥᱮ ᱨᱚᱲ ᱮᱫᱟᱹᱧ	मैं थोड़ा बोलता हूँ
बहुत बहुत धन्यवाद	ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ
मेरे पास पाँच अंडा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱱᱫᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
आपसे मिलकर अच्छा लगा	ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱠᱩᱥᱤ ᱮᱱᱟᱹᱧ
क्या यह आदमी अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱦᱚᱲ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱵᱟᱹᱭ ᱵᱟᱹᱭ ᱛᱮ ᱨᱚᱲ ᱢᱮ	कृपया धीरे बोलें
मेरे पास चालीस सात पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह ब्लैकबोर्ड हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱪᱟ	चाय
मेरे पास पाँच सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱮᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मैं खो गया हूँ	ᱤᱧ ᱟᱫ ᱟᱠᱟᱱᱟᱹᱧ
मैं एक विद्यार्थी हूँ	ᱤᱧ ᱫᱚ ᱢᱤᱫ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟᱹᱧ
ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱛ ᱪᱮᱫ ᱠᱟᱱᱟ?	इसका क्या मतलब है?
मेरे पास सात सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱮᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सौ मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस मछली हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱢᱤᱫ ᱥᱟᱭ	एक सौ
ᱡᱚᱦᱟᱨ	नमस्ते
मेरे पास पाँच अक्षर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱥᱟᱹᱜᱩᱱ ᱛᱟᱨᱟᱥᱤᱧ	शुभ दोपहर
ᱟᱢᱟᱜ ᱛᱤᱱᱮᱜ ᱵᱚᱭᱮᱥ ᱦᱩᱭᱩᱜ ᱠᱟᱱ ᱛᱟᱢᱟ?	आपकी आयु कितनी है?
बाहर निकलें	ᱚᱰᱚᱠᱚᱜ ᱢᱮ
ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱪᱮᱫ?	आपका नाम क्या है?
मेरे पास सोलह पेन हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बारह मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱯᱮ	तीन
मेरे पास दस नारियल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱤᱭᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱡᱟᱹᱨᱩᱢ ᱢᱟᱦᱟᱸ	शुक्रवार
ᱱᱚᱣᱟ ᱫᱚ ᱥᱤᱵᱤᱞ ᱜᱮᱭᱟ	यह स्वादिष्ट है
मेरे पास पाँच बकरी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱵᱚᱠᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
सात	ᱮᱭᱟᱭ
मेरे पास दस पेन हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
क्या यह नाम अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱧᱩᱛᱩᱢ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
एक	ᱢᱤᱫ
मेरे पास सौ पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच चीनी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱪᱤᱱᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
आज	ᱛᱮᱦᱮᱧ
मेरे पास पचास पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
बिल, कृपया	ᱵᱤᱞ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ
मेरे पास आठ पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱤᱨᱟᱹᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱟᱢ ᱚᱠᱟ ᱨᱮᱱ ᱠᱟᱱᱟᱢ?	आप कहाँ से हैं?
ᱢᱚᱬᱮ	पांच
औषधालय कहां है?	ᱯᱷᱟᱨᱢᱟᱥᱭ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
मेरे पास सौ पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱤᱫ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच नमक हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱱᱩᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
क्या यह मुर्गी अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱢᱩᱠᱨᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
मेरे पास सत्रह पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मुझे खाने से एलर्जी है	ᱤᱧ ᱫᱚ ᱡᱚᱢᱟᱜ ᱠᱷᱚᱱ ᱮᱞᱟᱨᱡᱤ ᱢᱮᱱᱟᱜ ᱛᱤᱧᱟ
मेरे पास सोलह कॉफ़ी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
कृपया	ᱫᱟᱭᱟ ᱠᱟᱛᱮ
मेरे पास पंद्रह बकरी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱵᱚᱠᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच तेल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱛᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱜᱚᱲᱚ	मदद
मैं बस देख रहा हूँ	ᱤᱧ ᱫᱚ ᱱᱤᱛ ᱜᱮ ᱠᱚᱭᱚᱜ ᱠᱟᱱᱟᱹᱧ
नौ	ᱟᱨᱮ
ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱜᱚᱱᱚᱝ ᱛᱤᱱᱟᱹᱜ ?	इसकी लागत कितनी है?
ᱤᱧ ᱨᱮᱸᱜᱮᱡ ᱢᱤᱱᱟᱹᱧᱟ	मुझे भूख लगी है
रोटी	ᱯᱤᱴᱷᱟᱹ
मेरे पास दस शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱛᱩᱨᱩᱭ	छह
मेरे पास दस दूध हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱫᱩᱫᱷ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास नौ पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास साठ पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱫᱚ ᱢᱤᱫ ᱯᱟᱹᱴᱷᱩᱣᱟᱹ ᱠᱟᱱᱟᱹᱧ	मैं एक विद्यार्थी हूँ
मेरे पास सात आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मुझे प्यास लगी है	ᱤᱧ ᱛᱮᱛᱟᱝ ᱟᱠᱟᱱᱟᱹᱧ
बाएँ मुड़ें	ᱞᱮᱸᱜᱟ ᱥᱮᱫ ᱟᱹᱪᱩᱨᱚᱜ ᱢᱮ
ᱤᱧ ᱚᱠᱟ ᱠᱷᱚᱱ ᱴᱤᱠᱤᱴ ᱠᱤᱨᱤᱧ ᱫᱟᱲᱮᱭᱟᱜᱼᱟᱹᱧ?	मैं टिकट कहाँ से खरीद सकता हूँ?
आपका दिन शुभ हो	ᱟᱢᱟᱜ ᱫᱤᱱ ᱱᱟᱯᱟᱭ ᱛᱟᱦᱮᱱ ᱢᱟ
मेरे पास सात हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱱᱚᱸᱰᱮ ᱠᱟᱹᱢᱤ ᱞᱟᱹᱜᱤᱫ ᱢᱤᱱᱟᱹᱧᱟ	मैं यहां काम के लिए हूँ
ᱫᱚᱥᱟᱨ ᱦᱟᱯᱛᱟ	अगले सप्ताह
मेरे पास पंद्रह पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
एक	ᱢᱤᱫ
दो	ᱵᱟᱨ
तीन	ᱯᱮ
चार	ᱯᱳᱱ
पाँच	ᱢᱚᱬᱮ
छः	ᱛᱩᱨᱩᱭ
सात	ᱮᱭᱟᱭ
आठ	ᱟᱨ
नौ	ᱱᱟᱭ
दस	ᱜᱮᱞ
ग्यारह	ᱜᱮᱞ ᱢᱤᱫ
बारह	ᱜᱮᱞ ᱵᱟᱨ
तेरह	ᱜᱮᱞ ᱯᱮ
चौदह	ᱜᱮᱞ ᱯᱳᱱ
पंद्रह	ᱜᱮᱞ ᱢᱚᱬᱮ
सोलह	ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सत्रह	ᱜᱮᱞ ᱮᱭᱟᱭ
अट्ठारह	ᱜᱮᱞ ᱟᱨ
उन्नीस	ᱜᱮᱞ ᱱᱟᱭ
बीस	ᱠᱩᱲᱤ
इक्कीस	ᱠᱩᱲᱤ ᱢᱤᱫ
बाईस	ᱠᱩᱲᱤ ᱵᱟᱨ
तेईस	ᱠᱩᱲᱤ ᱯᱮ
चौबीस	ᱠᱩᱲᱤ ᱯᱳᱱ
पच्चीस	ᱠᱩᱲᱤ ᱢᱚᱬᱮ
छब्बीस	ᱠᱩᱲᱤ ᱛᱩᱨᱩᱭ
सत्ताईस	ᱠᱩᱲᱤ ᱮᱭᱟᱭ
अट्ठाईस	ᱠᱩᱲᱤ ᱟᱨ
उनतीस	ᱠᱩᱲᱤ ᱱᱟᱭ
तीस	ᱯᱮ ᱜᱮᱞ
इकतीस	ᱯᱮ ᱜᱮᱞ ᱢᱤᱫ
बत्तीस	ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ
तेतीस	ᱯᱮ ᱜᱮᱞ ᱯᱮ
चौंतीस	ᱯᱮ ᱜᱮᱞ ᱯᱳᱱ
पैंतीस	ᱯᱮ ᱜᱮᱞ ᱢᱚᱬᱮ
छत्तीस	ᱯᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सैंतीस	ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ
अड़तीस	ᱯᱮ ᱜᱮᱞ ᱟᱨ
उनतालीस	ᱯᱮ ᱜᱮᱞ ᱱᱟᱭ
चालीस	ᱯᱳᱱ ᱜᱮᱞ
इकतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱢᱤᱫ
बयालीस	ᱯᱳᱱ ᱜᱮᱞ ᱵᱟᱨ
तेंतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱯᱮ
चवालीस	ᱯᱳᱱ ᱜᱮᱞ ᱯᱳᱱ
पैंतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱢᱚᱬᱮ
छियालीस	ᱯᱳᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
संतालीस	ᱯᱳᱱ ᱜᱮᱞ ᱮᱭᱟᱭ
अड़तालीस	ᱯᱳᱱ ᱜᱮᱞ ᱟᱨ
नवालीस	ᱯᱳᱱ ᱜᱮᱞ ᱱᱟᱭ
पचास	ᱢᱚᱬᱮ ᱜᱮᱞ
इक्यावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱢᱤᱫ
बावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱵᱟᱨ
तिरेपन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱯᱮ
चौवन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱯᱳᱱ
पचपन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱢᱚᱬᱮ
छप्पन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सत्तावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱮᱭᱟᱭ
अट्ठावन	ᱢᱚᱬᱮ ᱜᱮᱞ ᱟᱨ
उनसठ	ᱢᱚᱬᱮ ᱜᱮᱞ ᱱᱟᱭ
साठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ
इकसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱤᱫ
बासठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱵᱟᱨ
तिरेसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱮ
चौंसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱯᱳᱱ
पैंसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱢᱚᱬᱮ
छियासठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सड़सठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱮᱭᱟᱭ
अड़सठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱟᱨ
उनसठ	ᱛᱩᱨᱩᱭ ᱜᱮᱞ ᱱᱟᱭ
सत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ
इकहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱤᱫ
बहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱵᱟᱨ
तिहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱮ
चौहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱳᱱ
पचहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ
छियत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सतहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ
अठहत्तर	ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨ
उनासी	ᱮᱭᱟᱭ ᱜᱮᱞ ᱱᱟᱭ
अस्सी	ᱟᱨ ᱜᱮᱞ
इक्यासी	ᱟᱨ ᱜᱮᱞ ᱢᱤᱫ
बयासी	ᱟᱨ ᱜᱮᱞ ᱵᱟᱨ
तिरासी	ᱟᱨ ᱜᱮᱞ ᱯᱮ
चौरासी	ᱟᱨ ᱜᱮᱞ ᱯᱳᱱ
पचासी	ᱟᱨ ᱜᱮᱞ ᱢᱚᱬᱮ
छियासी	ᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ
सतासी	ᱟᱨ ᱜᱮᱞ ᱮᱭᱟᱭ
अट्ठासी	ᱟᱨ ᱜᱮᱞ ᱟᱨ
नवासी	ᱟᱨ ᱜᱮᱞ ᱱᱟᱭ
