demo0001	यह नीला फर्श है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱛ ᱠᱟᱱᱟ।
demo0361	यह घड़ी अच्छा है।	ᱱᱚᱣᱟ ᱜᱷᱟᱲᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0362	शिक्षक ने प्रश्न दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱠᱩᱞᱤ ᱮᱢ ᱠᱮᱫᱟ।
demo0363	यह सफ़ेद मैदान है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0364	यह छोटा शब्द है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0365	यह नया मैदान है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0366	यह अच्छा शब्द है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0367	यह अच्छा दीवार है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0368	यह अच्छा किताब है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0369	यह अच्छा मेज़ है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0370	यह सफ़ेद डस्टर है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0371	कक्षा में शिक्षक है।	ᱠᱞᱟᱥ ᱨᱮ ᱥᱟᱦᱟᱸ ᱢᱮᱱᱟᱜᱼᱟ।
demo0372	मेरे पास शब्द है।	ᱤᱧ ᱴᱷᱮᱱ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ।
demo0373	यह अच्छा गणित है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0374	यह सफ़ेद खिड़की है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0375	मेरे पास इतिहास है।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱜᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ।
demo0376	यह काला घंटी है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0377	कक्षा में गणित है।	ᱠᱞᱟᱥ ᱨᱮ ᱮᱞᱠᱷᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0378	यह हरा खिड़की है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0379	यह विज्ञान अच्छा है।	ᱱᱚᱣᱟ ᱥᱟᱬᱮᱥ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0380	यह हरा दरवाज़ा है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0381	शिक्षक ने बस्ता दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱵᱟᱹᱜ ᱮᱢ ᱠᱮᱫᱟ।
demo0382	यह अक्षर अच्छा है।	ᱱᱚᱣᱟ ᱚᱠᱷᱚᱨ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0383	यह मेज़ अच्छा है।	ᱱᱚᱣᱟ ᱴᱮᱵᱩᱞ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0384	वह एक खेल है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0385	यह नया अध्याय है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0386	यह पुराना काग़ज़ है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0387	यह पुराना कहानी है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0388	शिक्षक ने खेल दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱠᱷᱮᱞ ᱮᱢ ᱠᱮᱫᱟ।
demo0389	यह अच्छा कलम है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0390	कक्षा में किताब है।	ᱠᱞᱟᱥ ᱨᱮ ᱯᱚᱛᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ।
demo0391	यह एक खेल है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0392	यह नया कविता है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0393	यह हरा कविता है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0394	शिक्षक ने उत्तर दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱛᱮᱞᱟ ᱮᱢ ᱠᱮᱫᱟ।
demo0395	यह पुराना कविता है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0396	वह एक स्लेट है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0397	यह काला पेंसिल है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0398	यह अध्यापक अच्छा है।	ᱱᱚᱣᱟ ᱢᱟᱪᱮᱫ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0399	यह हरा चित्र है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0400	यह सफ़ेद दरवाज़ा है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0401	मेरे पास घड़ी है।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱷᱟᱲᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0402	यह काला कविता है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0403	यह छोटा अध्यापक है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0404	यह नक्शा अच्छा है।	ᱱᱚᱣᱟ ᱱᱚᱠᱥᱟ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0405	यह पुराना पेंसिल है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0406	यह काला डस्टर है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0407	यह अच्छा शिक्षक है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0408	यह सफ़ेद अध्याय है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0409	यह हरा पेंसिल है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0410	यह नया पेंसिल है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0411	कक्षा में कलम है।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱟᱞᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ।
demo0412	यह छोटा कलम है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0413	मेरे पास कलम है।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱟᱞᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ।
demo0414	यह हरा काग़ज़ है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0415	यह काला काग़ज़ है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0416	यह अच्छा कुर्सी है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0417	मेरे पास अक्षर है।	ᱤᱧ ᱴᱷᱮᱱ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0418	यह अच्छा विज्ञान है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0419	कक्षा में घड़ी है।	ᱠᱞᱟᱥ ᱨᱮ ᱜᱷᱟᱲᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0420	यह छोटा विज्ञान है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0421	यह नया घंटी है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0422	वह एक पाठ है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0423	शिक्षक ने कक्षा दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱠᱞᱟᱥ ᱮᱢ ᱠᱮᱫᱟ।
demo0424	यह एक पाठ है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0425	यह सफ़ेद घंटी है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0426	अभ्यास कहाँ है?	ᱟᱹᱵᱷᱭᱟᱥ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0427	यह सफ़ेद पेंसिल है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0428	यह नया डस्टर है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0429	यह हरा अध्याय है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0430	यह नया दरवाज़ा है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0431	यह पुराना चित्र है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0432	कक्षा में अध्यापक है।	ᱠᱞᱟᱥ ᱨᱮ ᱢᱟᱪᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ।
demo0433	यह नया कहानी है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0434	कक्षा में नक्शा है।	ᱠᱞᱟᱥ ᱨᱮ ᱱᱚᱠᱥᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0435	यह अच्छा अध्यापक है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0436	यह काला मैदान है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0437	यह सफ़ेद कविता है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0438	कक्षा में अक्षर है।	ᱠᱞᱟᱥ ᱨᱮ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0439	यह छोटा नक्शा है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0440	मेरे पास मेज़ है।	ᱤᱧ ᱴᱷᱮᱱ ᱴᱮᱵᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0441	वह एक कक्षा है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0442	यह किताब अच्छा है।	ᱱᱚᱣᱟ ᱯᱚᱛᱚᱢ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0443	वह एक उत्तर है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0444	यह नया काग़ज़ है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0445	यह छोटा कुर्सी है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0446	यह एक बस्ता है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0447	यह अच्छा नक्शा है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0448	यह पुराना अध्याय है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0449	मेरे पास नक्शा है।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱚᱠᱥᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0450	यह काला अध्याय है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0451	यह एक कक्षा है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0452	कक्षा में शब्द है।	ᱠᱞᱟᱥ ᱨᱮ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ।
demo0453	यह कुर्सी अच्छा है।	ᱱᱚᱣᱟ ᱠᱩᱨᱥᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0454	यह छोटा इतिहास है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0455	यह एक उत्तर है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0456	यह हरा घंटी है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0457	मेरे पास कुर्सी है।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0458	मेरे पास विज्ञान है।	ᱤᱧ ᱴᱷᱮᱱ ᱥᱟᱬᱮᱥ ᱢᱮᱱᱟᱜᱼᱟ।
demo0459	यह पुराना घंटी है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0460	यह काला चित्र है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0461	शिक्षक ने स्कूल दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱥᱠᱩᱞ ᱮᱢ ᱠᱮᱫᱟ।
demo0462	यह पुराना दरवाज़ा है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0463	शिक्षक ने स्लेट दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱥᱞᱮᱴ ᱮᱢ ᱠᱮᱫᱟ।
demo0464	यह नया चित्र है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0465	यह गणित अच्छा है।	ᱱᱚᱣᱟ ᱮᱞᱠᱷᱟ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0466	यह पीला अभ्यास है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0467	यह पुराना खिड़की है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0468	वह एक बस्ता है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0469	यह एक प्रश्न है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0470	यह हरा कहानी है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0471	यह एक स्कूल है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0472	यह लाल अभ्यास है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0473	यह कलम अच्छा है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟᱢ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0474	यह हरा डस्टर है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0475	कक्षा में मेज़ है।	ᱠᱞᱟᱥ ᱨᱮ ᱴᱮᱵᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0476	यह पुराना मैदान है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0477	यह छोटा दीवार है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0478	यह छोटा किताब है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0479	यह अच्छा अक्षर है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0480	यह इतिहास अच्छा है।	ᱱᱚᱣᱟ ᱱᱟᱜᱟᱢ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0481	कक्षा में विज्ञान है।	ᱠᱞᱟᱥ ᱨᱮ ᱥᱟᱬᱮᱥ ᱢᱮᱱᱟᱜᱼᱟ।
demo0482	यह सफ़ेद काग़ज़ है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0483	यह छोटा घड़ी है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0484	यह काला दरवाज़ा है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0485	मेरे पास अध्यापक है।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱟᱪᱮᱫ ᱢᱮᱱᱟᱜᱼᱟ।
demo0486	वह एक प्रश्न है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0487	यह छोटा खिड़की है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0488	वह एक अक्षर है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0489	यह एक घड़ी है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0490	यह छोटा दरवाज़ा है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0491	वह एक अध्यापक है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0492	यह अच्छा काग़ज़ है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0493	यह पुराना अभ्यास है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0494	शिक्षक ने शिक्षक दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱥᱟᱦᱟᱸ ᱮᱢ ᱠᱮᱫᱟ।
demo0495	कक्षा में डस्टर है।	ᱠᱞᱟᱥ ᱨᱮ ᱰᱟᱥᱴᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0496	कक्षा में पेंसिल है।	ᱠᱞᱟᱥ ᱨᱮ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0497	कक्षा में खिड़की है।	ᱠᱞᱟᱥ ᱨᱮ ᱡᱷᱚᱨᱠᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0498	वह एक शिक्षक है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0499	यह नया अभ्यास है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0500	शिक्षक ने अध्यापक दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱢᱟᱪᱮᱫ ᱮᱢ ᱠᱮᱫᱟ।
demo0501	यह काग़ज़ अच्छा है।	ᱱᱚᱣᱟ ᱠᱟᱜᱚᱡᱽ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0502	यह एक दीवार है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0503	यह मेरा फर्श है।	ᱱᱚᱣᱟ ᱫᱚ ᱤᱧ ᱨᱮᱱ ᱚᱛ ᱠᱟᱱᱟ।
demo0504	यह अच्छा दरवाज़ा है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0505	यह छोटा कविता है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0506	यह डस्टर अच्छा है।	ᱱᱚᱣᱟ ᱰᱟᱥᱴᱟᱨ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0507	यह कविता अच्छा है।	ᱱᱚᱣᱟ ᱚᱱᱚᱬᱦᱮ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0508	यह अच्छा डस्टर है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0509	कक्षा में कविता है।	ᱠᱞᱟᱥ ᱨᱮ ᱚᱱᱚᱬᱦᱮ ᱢᱮᱱᱟᱜᱼᱟ।
demo0510	वह एक शब्द है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0511	यह पीला परीक्षा है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱚᱨᱤᱠᱷᱭᱟ ᱠᱟᱱᱟ।
demo0512	शिक्षक ने किताब दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱯᱚᱛᱚᱢ ᱮᱢ ᱠᱮᱫᱟ।
demo0513	यह चित्र अच्छा है।	ᱱᱚᱣᱟ ᱪᱤᱛᱟᱹᱨ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0514	यह छोटा काग़ज़ है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0515	कक्षा में काग़ज़ है।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱟᱜᱚᱡᱽ ᱢᱮᱱᱟᱜᱼᱟ।
demo0516	यह मैदान अच्छा है।	ᱱᱚᱣᱟ ᱢᱟᱭᱫᱟᱱ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0517	यह पीला ब्लैकबोर्ड है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱠᱟᱱᱟ।
demo0518	शिक्षक ने इतिहास दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱱᱟᱜᱟᱢ ᱮᱢ ᱠᱮᱫᱟ।
demo0519	यह एक कलम है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0520	मेरे पास डस्टर है।	ᱤᱧ ᱴᱷᱮᱱ ᱰᱟᱥᱴᱟᱨ ᱢᱮᱱᱟᱜᱼᱟ।
demo0521	ब्लैकबोर्ड कहाँ है?	ᱵᱞᱟᱠᱵᱚᱨᱰ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0522	शिक्षक ने दीवार दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱫᱮᱣᱟᱞ ᱮᱢ ᱠᱮᱫᱟ।
demo0523	मेरे पास खिड़की है।	ᱤᱧ ᱴᱷᱮᱱ ᱡᱷᱚᱨᱠᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0524	यह अच्छा कविता है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0525	यह खिड़की अच्छा है।	ᱱᱚᱣᱟ ᱡᱷᱚᱨᱠᱟ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0526	शिक्षक ने नक्शा दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱱᱚᱠᱥᱟ ᱮᱢ ᱠᱮᱫᱟ।
